,idx,class,conversation
126,126,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
127,127,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
128,128,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
129,129,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
130,130,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
131,131,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
132,132,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
133,133,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
134,134,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
135,135,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
136,136,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
137,137,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
138,138,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
139,139,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
140,140,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
141,141,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
142,142,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
143,143,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
144,144,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
145,145,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
146,146,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
147,147,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
148,148,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
149,149,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
150,150,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
151,151,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
152,152,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
153,153,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
154,154,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
155,155,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
156,156,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
157,157,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
158,158,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
159,159,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
160,160,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
161,161,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
162,162,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
163,163,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
164,164,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
165,165,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
166,166,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
167,167,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
168,168,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
169,169,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
170,170,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
171,171,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
172,172,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
173,173,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
174,174,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
175,175,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
176,176,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
177,177,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
178,178,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
179,179,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
180,180,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
181,181,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
182,182,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
183,183,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
184,184,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
185,185,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
186,186,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
187,187,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
188,188,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
189,189,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
190,190,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
191,191,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
192,192,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
193,193,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
194,194,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
195,195,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
196,196,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
197,197,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
198,198,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
199,199,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
200,200,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
201,201,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
202,202,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
203,203,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
204,204,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
205,205,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
206,206,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
207,207,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
208,208,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
209,209,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
210,210,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
211,211,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
212,212,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
213,213,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
214,214,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
215,215,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
216,216,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
217,217,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
218,218,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
219,219,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
220,220,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
221,221,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
222,222,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
223,223,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
224,224,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
225,225,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
226,226,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
227,227,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
228,228,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
229,229,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
230,230,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
231,231,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
232,232,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
233,233,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
234,234,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
235,235,일반대화,"안녕하세요, 오늘 날씨가 정말 좋네요.
맞아요, 정말 맑고 따뜻해요."
236,236,일반대화,"어제 본 영화가 정말 재미있었어요.
어떤 영화였어요? 저도 궁금하네요."
237,237,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
238,238,일반대화,"이번 주말에 등산 갈 생각이에요.
좋은 생각이네요! 저도 같이 가고 싶어요."
239,239,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
240,240,일반대화,"주말에 무슨 계획 있어요?
아직은 없는데, 같이 놀러 갈까요?"
241,241,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
242,242,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
243,243,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
244,244,일반대화,"새로운 취미를 시작했어요.
오, 무슨 취미인가요? 저도 같이 해보고 싶네요."
245,245,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
246,246,일반대화,"이번 프로젝트 잘 진행되고 있나요?
네, 팀원들과 열심히 준비하고 있어요."
247,247,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
248,248,일반대화,"지금 읽고 있는 책이 정말 흥미로워요.
어떤 책인가요? 저도 추천해 주세요."
249,249,일반대화,"여행 다녀왔는데 정말 좋았어요.
어디로 다녀오셨나요? 여행 얘기 들려주세요."
250,250,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
251,251,일반대화,"점심 뭐 먹을까 고민 중이에요.
저는 파스타 먹을 생각인데, 같이 먹을래요?"
252,252,일반대화,"오늘 저녁에 뭐 하세요?
아직 계획이 없어요. 저녁 같이 드실래요?"
