,idx,class,conversation
31,31,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
32,32,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
33,33,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 요리 하려고 해요."
34,34,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
35,35,일반대화,"오늘은 바쁜 하루였어요?
네, 아주 신났어요."
36,36,일반대화,"다음에 영화 같이 볼래요?
네, 액션 장르 좋아해요."
37,37,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
38,38,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 요리 하려고 해요."
39,39,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
40,40,일반대화,"오늘은 좋은 하루였어요?
네, 평온했어요."
41,41,일반대화,"다음에 영화 같이 볼래요?
네, 액션 장르 좋아해요."
42,42,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
43,43,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 요리 하려고 해요."
44,44,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
45,45,일반대화,"오늘은 조용한 하루였어요?
네, 아주 신났어요."
46,46,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
47,47,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
48,48,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 요리 하려고 해요."
49,49,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
50,50,일반대화,"오늘은 바쁜 하루였어요?
네, 아주 신났어요."
51,51,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
52,52,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
53,53,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 요리 하려고 해요."
54,54,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
55,55,일반대화,"오늘은 조용한 하루였어요?
네, 정말 바빴어요."
56,56,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
57,57,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
58,58,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
59,59,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
60,60,일반대화,"오늘은 바쁜 하루였어요?
네, 평온했어요."
61,61,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
62,62,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
63,63,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 요리 하려고 해요."
64,64,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
65,65,일반대화,"오늘은 바쁜 하루였어요?
네, 정말 바빴어요."
66,66,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
67,67,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
68,68,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 요리 하려고 해요."
69,69,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
70,70,일반대화,"오늘은 조용한 하루였어요?
네, 정말 바빴어요."
71,71,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
72,72,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
73,73,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
74,74,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
75,75,일반대화,"오늘은 바쁜 하루였어요?
네, 정말 바빴어요."
76,76,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
77,77,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
78,78,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 요리 하려고 해요."
79,79,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
80,80,일반대화,"오늘은 바쁜 하루였어요?
네, 정말 바빴어요."
81,81,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
82,82,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
83,83,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
84,84,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
85,85,일반대화,"오늘은 조용한 하루였어요?
네, 아주 신났어요."
86,86,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
87,87,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
88,88,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
89,89,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
90,90,일반대화,"오늘은 바쁜 하루였어요?
네, 아주 신났어요."
91,91,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
92,92,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
93,93,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 요리 하려고 해요."
94,94,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
95,95,일반대화,"오늘은 좋은 하루였어요?
네, 정말 바빴어요."
96,96,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
97,97,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
98,98,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
99,99,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
100,100,일반대화,"오늘은 좋은 하루였어요?
네, 평온했어요."
101,101,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
102,102,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
103,103,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 요리 하려고 해요."
104,104,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
105,105,일반대화,"오늘은 좋은 하루였어요?
네, 아주 신났어요."
106,106,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
107,107,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
108,108,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
109,109,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
110,110,일반대화,"오늘은 바쁜 하루였어요?
네, 평온했어요."
111,111,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
112,112,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
113,113,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
114,114,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
115,115,일반대화,"오늘은 조용한 하루였어요?
네, 아주 신났어요."
116,116,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
117,117,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
118,118,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 산책 하려고 해요."
119,119,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
120,120,일반대화,"오늘은 바쁜 하루였어요?
네, 아주 신났어요."
121,121,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
122,122,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
123,123,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 요리 하려고 해요."
124,124,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
125,125,일반대화,"오늘은 좋은 하루였어요?
네, 아주 신났어요."
126,126,일반대화,"다음에 영화 같이 볼래요?
네, 액션 장르 좋아해요."
127,127,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
128,128,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 산책 하려고 해요."
129,129,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
130,130,일반대화,"오늘은 조용한 하루였어요?
네, 평온했어요."
131,131,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
132,132,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
133,133,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 요리 하려고 해요."
134,134,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
135,135,일반대화,"오늘은 조용한 하루였어요?
네, 평온했어요."
136,136,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
137,137,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
138,138,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
139,139,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
140,140,일반대화,"오늘은 좋은 하루였어요?
네, 평온했어요."
141,141,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
142,142,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
143,143,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 산책 하려고 해요."
144,144,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
145,145,일반대화,"오늘은 바쁜 하루였어요?
네, 아주 신났어요."
146,146,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
147,147,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
148,148,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 산책 하려고 해요."
149,149,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
150,150,일반대화,"오늘은 바쁜 하루였어요?
네, 평온했어요."
151,151,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
152,152,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
153,153,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 산책 하려고 해요."
154,154,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
155,155,일반대화,"오늘은 조용한 하루였어요?
네, 평온했어요."
156,156,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
157,157,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
158,158,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 산책 하려고 해요."
159,159,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
160,160,일반대화,"오늘은 조용한 하루였어요?
네, 아주 신났어요."
161,161,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
162,162,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
163,163,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 산책 하려고 해요."
164,164,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
165,165,일반대화,"오늘은 조용한 하루였어요?
네, 평온했어요."
166,166,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
167,167,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
168,168,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 산책 하려고 해요."
169,169,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
170,170,일반대화,"오늘은 조용한 하루였어요?
네, 평온했어요."
171,171,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
172,172,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
173,173,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 산책 하려고 해요."
174,174,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
175,175,일반대화,"오늘은 바쁜 하루였어요?
네, 정말 바빴어요."
176,176,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
177,177,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
178,178,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
179,179,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
180,180,일반대화,"오늘은 좋은 하루였어요?
네, 평온했어요."
181,181,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
182,182,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
183,183,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
184,184,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
185,185,일반대화,"오늘은 좋은 하루였어요?
네, 평온했어요."
186,186,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
187,187,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
188,188,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 요리 하려고 해요."
189,189,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
190,190,일반대화,"오늘은 바쁜 하루였어요?
네, 아주 신났어요."
191,191,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
192,192,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
193,193,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
194,194,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
195,195,일반대화,"오늘은 조용한 하루였어요?
네, 아주 신났어요."
196,196,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
197,197,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
198,198,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 요리 하려고 해요."
199,199,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
200,200,일반대화,"오늘은 조용한 하루였어요?
네, 정말 바빴어요."
201,201,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
202,202,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
203,203,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 요리 하려고 해요."
204,204,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
205,205,일반대화,"오늘은 바쁜 하루였어요?
네, 아주 신났어요."
206,206,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
207,207,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
208,208,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
209,209,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
210,210,일반대화,"오늘은 좋은 하루였어요?
네, 아주 신났어요."
211,211,일반대화,"다음에 영화 같이 볼래요?
네, 액션 장르 좋아해요."
212,212,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
213,213,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 산책 하려고 해요."
214,214,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
215,215,일반대화,"오늘은 바쁜 하루였어요?
네, 아주 신났어요."
216,216,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
217,217,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
218,218,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 요리 하려고 해요."
219,219,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
220,220,일반대화,"오늘은 바쁜 하루였어요?
네, 평온했어요."
221,221,일반대화,"다음에 영화 같이 볼래요?
네, 액션 장르 좋아해요."
222,222,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
223,223,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 산책 하려고 해요."
224,224,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
225,225,일반대화,"오늘은 좋은 하루였어요?
네, 평온했어요."
226,226,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
227,227,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
228,228,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 요리 하려고 해요."
229,229,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
230,230,일반대화,"오늘은 좋은 하루였어요?
네, 평온했어요."
231,231,일반대화,"다음에 영화 같이 볼래요?
네, 액션 장르 좋아해요."
232,232,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
233,233,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
234,234,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
235,235,일반대화,"오늘은 바쁜 하루였어요?
네, 평온했어요."
236,236,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
237,237,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
238,238,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 요리 하려고 해요."
239,239,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
240,240,일반대화,"오늘은 조용한 하루였어요?
네, 아주 신났어요."
241,241,일반대화,"다음에 영화 같이 볼래요?
네, 액션 장르 좋아해요."
242,242,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
243,243,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 요리 하려고 해요."
244,244,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
245,245,일반대화,"오늘은 조용한 하루였어요?
네, 평온했어요."
246,246,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
247,247,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
248,248,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 요리 하려고 해요."
249,249,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
250,250,일반대화,"오늘은 좋은 하루였어요?
네, 평온했어요."
251,251,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
252,252,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
253,253,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
254,254,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
255,255,일반대화,"오늘은 좋은 하루였어요?
네, 평온했어요."
256,256,일반대화,"다음에 영화 같이 볼래요?
네, 액션 장르 좋아해요."
257,257,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
258,258,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
259,259,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
260,260,일반대화,"오늘은 좋은 하루였어요?
네, 정말 바빴어요."
261,261,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
262,262,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
263,263,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 요리 하려고 해요."
264,264,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
265,265,일반대화,"오늘은 바쁜 하루였어요?
네, 정말 바빴어요."
266,266,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
267,267,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
268,268,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 산책 하려고 해요."
269,269,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
270,270,일반대화,"오늘은 좋은 하루였어요?
네, 평온했어요."
271,271,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
272,272,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
273,273,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 산책 하려고 해요."
274,274,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
275,275,일반대화,"오늘은 조용한 하루였어요?
네, 정말 바빴어요."
276,276,일반대화,"다음에 영화 같이 볼래요?
네, 액션 장르 좋아해요."
277,277,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
278,278,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
279,279,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
280,280,일반대화,"오늘은 조용한 하루였어요?
네, 평온했어요."
281,281,일반대화,"다음에 영화 같이 볼래요?
네, 액션 장르 좋아해요."
282,282,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
283,283,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 산책 하려고 해요."
284,284,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
285,285,일반대화,"오늘은 조용한 하루였어요?
네, 평온했어요."
286,286,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
287,287,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
288,288,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 요리 하려고 해요."
289,289,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
290,290,일반대화,"오늘은 좋은 하루였어요?
네, 정말 바빴어요."
291,291,일반대화,"다음에 영화 같이 볼래요?
네, 액션 장르 좋아해요."
292,292,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
293,293,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 요리 하려고 해요."
294,294,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
295,295,일반대화,"오늘은 좋은 하루였어요?
네, 정말 바빴어요."
296,296,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
297,297,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
298,298,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 산책 하려고 해요."
299,299,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
300,300,일반대화,"오늘은 조용한 하루였어요?
네, 아주 신났어요."
301,301,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
302,302,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
303,303,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
304,304,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
305,305,일반대화,"오늘은 바쁜 하루였어요?
네, 평온했어요."
306,306,일반대화,"다음에 드라마 같이 볼래요?
네, 액션 장르 좋아해요."
307,307,일반대화,"최근에 다녀온 여행 어땠어요?
정말 재미있었어요."
308,308,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 요리 하려고 해요."
309,309,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
310,310,일반대화,"오늘은 조용한 하루였어요?
네, 정말 바빴어요."
311,311,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
312,312,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
313,313,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
314,314,일반대화,"저녁에 뭐 드실 건가요?
한식 생각 중이에요."
315,315,일반대화,"오늘은 바쁜 하루였어요?
네, 평온했어요."
316,316,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
317,317,일반대화,"최근에 다녀온 여행 어땠어요?
정말 모험 같았어요."
318,318,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
319,319,일반대화,"저녁에 뭐 드실 건가요?
양식 생각 중이에요."
320,320,일반대화,"오늘은 조용한 하루였어요?
네, 평온했어요."
321,321,일반대화,"다음에 영화 같이 볼래요?
네, 로맨스 장르 좋아해요."
322,322,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
323,323,일반대화,"이제 곧 휴일이네요. 특별한 계획은요?
네, 요리 하려고 해요."
324,324,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
325,325,일반대화,"오늘은 바쁜 하루였어요?
네, 정말 바빴어요."
326,326,일반대화,"다음에 영화 같이 볼래요?
네, 액션 장르 좋아해요."
327,327,일반대화,"최근에 다녀온 여행 어땠어요?
정말 편안했어요."
328,328,일반대화,"이제 곧 주말이네요. 특별한 계획은요?
네, 영화 보기 하려고 해요."
329,329,일반대화,"저녁에 뭐 드실 건가요?
중식 생각 중이에요."
330,330,일반대화,"오늘은 바쁜 하루였어요?
네, 평온했어요."
331,331,일반대화,"다음에 드라마 같이 볼래요?
네, 로맨스 장르 좋아해요."
